Date,Mode,Category,Sub Category,Income/Expense,Amount,Notes
2025-11-01,Bank Transfer,Allowance,From Parents,Income,800.0,Monthly allowance
2025-11-02,Cash,Food,Breakfast,Expense,8.5,Campus cafe
2025-11-02,Card,Transportation,Bus fare,Expense,3.0,To university
2025-11-03,Cash,Food,Lunch,Expense,12.0,Lunch with friends
2025-11-04,Online,Entertainment,Movie ticket,Expense,15.0,Weekend movie
2025-11-05,Cash,Food,Dinner,Expense,18.5,Dinner out
2025-11-06,Card,Household,Groceries,Expense,45.0,Weekly groceries
2025-11-07,Cash,Food,Snacks,Expense,6.5,Study snacks
2025-11-08,Bank Transfer,Allowance,Part-time job,Income,150.0,Weekly paycheck
2025-11-09,Card,Transportation,Metro,Expense,4.5,Monthly pass
2025-11-10,Cash,Food,Lunch,Expense,13.0,Campus food court
2025-11-11,Online,Other,Online subscription,Expense,9.99,Netflix
2025-11-12,Cash,Food,Coffee,Expense,5.5,Study coffee
2025-11-13,Card,Entertainment,Concert,Expense,35.0,Live music
2025-11-14,Cash,Food,Dinner,Expense,22.0,Restaurant
2025-11-15,Card,Household,Cleaning supplies,Expense,18.0,Apartment cleaning
2025-12-01,Bank Transfer,Allowance,From Parents,Income,800.0,Monthly allowance
2025-12-02,Cash,Food,Breakfast,Expense,9.0,Morning coffee
2025-12-02,Card,Transportation,Bus fare,Expense,3.0,Daily commute
2025-12-03,Cash,Food,Lunch,Expense,14.0,Quick lunch
2025-12-06,Online,Food,Dinner,Expense,100.0,Quick dinner
2025-12-07,Cash,Transportation,xyz,Expense,100.0,
2025-12-08,Cash,Food,sandwich,Expense,7.0,
